BasketId,ItemId,SiteId,TimeStamp,Qtty,ClientId,IsActive,IDE
7131292,258376,20,2016-01-01 20:26:48.890,1.0,-103,1,1143
7131292,258428,20,2016-01-01 20:26:48.890,1.0,-103,1,196
7131303,258276,20,2016-01-01 20:33:25.450,1.0,-103,1,561
7131303,347343,20,2016-01-01 20:33:25.450,1.0,-103,1,22
7131321,350810,20,2016-01-01 20:45:25.110,1.0,-103,1,1320
7131321,459570,20,2016-01-01 20:45:25.110,1.0,-103,1,1825
7131321,466246,20,2016-01-01 20:45:25.110,1.0,-103,1,7797
7131333,454098,20,2016-01-01 20:52:46.663,1.0,-103,1,7902
7131333,455200,20,2016-01-01 20:52:46.663,1.0,-103,1,9122
7131342,356483,20,2016-01-01 21:09:55.853,1.0,-103,1,9633
7131342,437080,20,2016-01-01 21:09:55.853,1.0,-103,1,31
7131347,461594,26,2016-01-01 21:18:01.700,1.0,-103,1,1082
7131347,468975,26,2016-01-01 21:18:01.700,1.0,-103,1,3983
7131356,400993,20,2016-01-01 21:34:42.207,1.0,-103,1,4108
7131356,425386,20,2016-01-01 21:34:42.207,1.0,-103,1,197
7131359,288357,20,2016-01-01 21:37:48.557,1.0,-103,1,9837
7131359,459197,20,2016-01-01 21:37:48.557,1.0,-103,1,11326
7131366,386782,20,2016-01-01 21:48:35.130,1.0,-103,1,11397
7131366,427589,20,2016-01-01 21:48:35.130,1.0,-103,1,2908
7131366,454752,20,2016-01-01 21:48:35.130,1.0,-103,1,1364
7131367,382894,20,2016-01-01 21:49:16.630,1.0,-103,1,12371
7131367,462216,20,2016-01-01 21:49:16.630,1.0,-103,1,1785
7131367,466615,20,2016-01-01 21:49:16.630,1.0,-103,1,6990
7131367,466635,20,2016-01-01 21:49:16.630,1.0,-103,1,8928
7131369,365502,20,2016-01-01 21:50:04.790,1.0,-103,1,262
7131369,396428,20,2016-01-01 21:50:04.790,1.0,-103,1,331
7131394,429658,20,2016-01-01 22:15:14.287,1.0,-103,1,39
7131394,462490,20,2016-01-01 22:15:14.287,1.0,-103,1,2342
7131397,217101,20,2016-01-01 22:16:32.977,1.0,-103,1,3461
7131397,258278,20,2016-01-01 22:16:32.977,1.0,-103,1,313
7131416,214059,20,2016-01-01 22:41:50.733,1.0,-103,1,221
7131416,440556,20,2016-01-01 22:41:50.733,1.0,-103,1,3943
7131416,459206,20,2016-01-01 22:41:50.733,1.0,-103,1,1693
7131425,213011,20,2016-01-01 22:47:46.590,1.0,-103,1,20
7131425,404334,20,2016-01-01 22:47:46.590,1.0,-103,1,11251
7131497,162491,20,2016-01-02 10:35:00.410,1.0,-103,1,2783
7131497,405578,20,2016-01-02 10:35:00.410,1.0,-103,1,687
7131513,400485,23,2016-01-02 10:52:22.527,1.0,-103,1,1349
7131513,400952,23,2016-01-02 10:52:22.527,1.0,-103,1,9784
7131517,218232,7,2016-01-02 10:57:19.720,1.0,117446897,1,2477
7131517,390184,7,2016-01-02 10:57:19.720,1.0,117446897,1,8337
7131529,258470,7,2016-01-02 11:05:06.317,1.0,-103,1,1834
